,clean_title,movieId,user_id
0,Miami Vice,47044,1
1,Stranger than Fiction,46976,1
2,"Pursuit of Happyness, The",47099,1
3,"Ant Bully, The",47124,1
4,World Trade Center,46974,1
5,Chaos,47254,1
0,Seven Up!,50740,37
1,Waitress,50685,37
2,Catch and Release,50792,37
3,Blood and Chocolate,50796,37
4,49 Up,50658,37
5,Because I Said So,50802,37
0,"Guardian, The",48412,100
1,Pan's Labyrinth,48394,100
2,Open Season,48414,100
3,"Texas Chainsaw Massacre: The Beginning, The",48518,100
4,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,48385,100
5,Running With Scissors,48560,100
0,The Little World of Don Camillo,50356,609
1,Venus,50274,609
2,Primeval,50440,609
3,After the Wedding,50514,609
4,American Pie Presents The Naked Mile,50189,609
5,Beer League,50610,609
